year_month,L_t1,L_t2,L_t3,L_t4,L_t5,L_t6,L_t12,L_t+6_6,6_6_forward_rate,2_1_forward_rate,6_6_forecast_errors
1995-07,,,,,,,,0.0003055976066690667,,,
1995-08,,,,,,,,0.00014909828654990255,,,
1995-09,,,,,,,,0.00017245640886089434,,,
1995-10,,,,,,,,0.0001977823871412863,,,
1995-11,,,,,,,,0.0007385501906579899,,,
1995-12,,,,,,,,0.0004989633914887589,,,
1996-01,0.0017797492185573154,0.0008951942683676924,0.0006003638188740395,0.0004529645896069303,0.0003645379249270579,0.0003055976066690667,0.00015836194196214507,0.0004003070530996698,0.00014723566470692165,-0.00029483044949365296,0.0002530713883927482
1996-02,0.0008873985890666615,0.000444416087862245,0.0002967560261107515,0.00022292657515783924,0.00017862936927384875,0.00014909828654990255,7.5274669906642e-05,0.00045119189274495797,7.382361664326056e-05,-0.0001476600617514935,0.0003773682761016974
1996-03,0.0010232566702167202,0.000512771394425663,0.0003426113383465504,0.0002575325900481962,0.0002064863671494623,0.00017245640886089434,8.739056516010039e-05,0.00043153174213677854,8.506584370079395e-05,-0.00017016005607911258,0.0003464658984359846
1996-04,0.0011832119110744628,0.0005919537874617384,0.0003948678825949205,0.0002963250324746986,0.00023719940430123862,0.0001977823871412863,9.924056240115785e-05,0.0003267487101046253,9.854182474012846e-05,-0.00019708590486681787,0.00022820688536449684
1996-05,0.00435010410885477,0.0021831118046764645,0.0014608009471210699,0.0010996605065558339,0.0008829882772182414,0.0007385501906579899,0.00037756172002443054,0.000521936088894071,0.0003609884706335593,-0.0007223108575553946,0.00016094761826051168
1996-06,0.0029422464686564968,0.0014762408922547423,0.0009875842354612775,0.0007432648395359243,0.000596680372816825,0.0004989633914887589,0.00025473448789074896,0.0006837259767714113,0.0002442289035980099,-0.0004886566567934647,0.0004394970731734014
1996-07,0.0023787579057781174,0.0011916784851818513,0.0007959883089101958,0.0005981454480175111,0.0004794415167213169,0.0004003070530996698,0.0002024866259790963,0.0006141216989044502,0.00019782042712057353,-0.00039569017627165556,0.00041630127178387665
1996-08,0.002614808587814301,0.0013165108237112087,0.0008837871891278205,0.00066745730783108,0.0005376851058053297,0.00045119189274495797,0.00023518978436416738,0.0003824027434323798,0.00021600210838079059,-0.0004327236345833882,0.0001664006350515892
1996-09,0.0025824484603451043,0.001291897726468745,0.000861714382704893,0.0006466228865607841,0.0005175681295379037,0.00043153174213677854,0.0002164420067962798,0.00040043904077053115,0.00021508973534049874,-0.0004301833437638519,0.0001853493054300324
1996-10,0.00192071430221582,0.0009643023985347113,0.0006455092356331861,0.00048612079121758395,0.00039049426093858277,0.0003267487101046253,0.00016744289358018772,0.0003720708643212948,0.00015930581652443758,-0.0003187931629015252,0.00021276504779685725
1996-11,0.0031280099586739043,0.0015643654705867155,0.001043150696617979,0.0007825433511884324,0.0006261789771822236,0.000521936088894071,0.00026132915937047063,0.0005778857249392174,0.0002606069295236004,-0.0005212147739687364,0.000317278795415617
1996-12,0.003985892028907562,0.00200445861789293,0.0013440251506081514,0.001013841861343542,0.0008157587978448683,0.0006837259767714113,0.0003538844219079325,0.000644988144200158,0.00032984155486347883,-0.0006604334672847788,0.00031514658933667916
1997-01,0.0036719316225348126,0.0018372438876950385,0.0012256819025559173,0.0009199013551516382,0.0007364333830892112,0.0006141216989044502,0.0003083456147373395,0.0006300757445371172,0.0003057760841671107,-0.0006115619851391212,0.0003242996603700065
1997-02,0.0021677480740347936,0.0010962547837323666,0.000739184634506755,0.0005607210782555758,0.0004537008127392792,0.0003824027434323798,0.00020468552559591377,0.00069162247239858,0.00017771721783646602,-0.0003570701492256116,0.0005139052545621141
1997-03,0.0023985442316955844,0.00119968083845299,0.0008000598002363252,0.0006002493507998791,0.0004803631368945166,0.00040043904077053115,0.00020062928893998426,0.0011490592677266685,0.00019980975183054689,-0.0003996210382166648,0.0009492495158961217
1997-04,0.0021782264726350428,0.0010944799562296896,0.0007332487474787607,0.000552646430796884,0.0004442957233238334,0.0003720708643212948,0.0001916038915355023,0.0005664028361545331,0.00018046697278579251,-0.0003612312087509289,0.0003859358633687406
1997-05,0.0034444513201537293,0.0017245059168258014,0.0011511927951162405,0.000864537745809942,0.0006925459270660013,0.0005778857249392174,0.0002912458660175649,0.0011446368971114618,0.0002866398589216525,-0.0005733131217095608,0.0008579970381898093
1997-06,0.0038342828075386987,0.0019206928274136366,0.00128283388661369,0.0009639077117385548,0.000772554648117201,0.000644988144200158,0.00032609515327256607,0.0012552813959465748,0.0003188929909275919,-0.0006378589407999467,0.0009363884050189829
1997-07,0.003712815059953088,0.0018631227129875872,0.001246574791220218,0.000938313019685995,0.0007533657435190579,0.0006300757445371172,0.00032193752372577944,0.0012521617580815553,0.00030813822081133776,-0.0006165479217673693,0.0009440235372702176
1997-08,0.00398540834911957,0.002008872319680711,0.0013501144318694032,0.0010208016116528141,0.0008232672476787738,0.00069162247239858,0.00036299122342064316,0.0008652726192917156,0.00032863124897793686,-0.0006587578878113076,0.0005366413703137788
1997-09,0.006886399403178876,0.003443994954474181,0.0022965269273554556,0.0017227930056544322,0.0013785527261374634,0.0011490592677266685,0.0005753262654014466,0.000955486670221246,0.0005737330023252219,-0.0011474680271187252,0.00038175366789602405
1997-10,0.003393570552569608,0.001697269646102058,0.0011318361027927253,0.0008491194002926825,0.0006794894341321484,0.0005664028361545331,0.00028368682593811625,0.001281073029324247,0.0002827160102164169,-0.0005654335433093328,0.0009983570191078302
